
dot_number,JB Carrier,Carrier,Primary Officer, Insurance,Amount, Trucks , Inspections , Violations , OOS , Crashes ,Driver OOS Rate,Vehicle OOS Rate, MCS150 Drivers , MCS150 Miles , AMPD 
3527436,Yes,Uscan Logistics INC,Khasan Mukhsinov,State National,$1 Million,  478 ,  238 ,  128 ,  29 ,  10 ,0.90%,21.10%,  501 ,"  38,674,967 ","  77,196 "
3612669,Yes,ASM Trucking INC,Sulaymon Abdumanofov,State National,$1 Million,  47 ,  141 ,  72 ,  23 ,  10 ,2.80%,30.90%,  47 ,"  8,210,000 ","  174,681 "
3644911,Yes,Weems Transport INC,Abdurasul Siddikov,State National,$1 Million,  110 ,  137 ,  94 ,  28 ,  9 ,3.10%,36.10%,  75 ,"  1,720,000 ","  22,933 "
3702920,Yes,Holsteiner INC,Sherzod Khalmatov,State National,$1 Million,  134 ,  215 ,  111 ,  31 ,  9 ,4.60%,19.80%,  131 ,"  12,189,239 ","  93,048 "
3537161,Yes,US DAR LLC,Nilufar Shodiyorova,MS Transverse Specialty,$1 Million,  190 ,  160 ,  101 ,  35 ,  9 ,8.80%,24.40%,  190 ,"  13,255,667 ","  69,767 "
3372019,Yes,Bulltex Trucking LLC,Jorge Rodriquez Orihuela,Southlake,$750k,  28 ,  74 ,  56 ,  19 ,  7 ,16.40%,21.90%,  29 ,"  1,666,594 ","  57,469 "
2790217,Yes,G.R. Express INC,Forrukhjon Yakubdjanov,State National,$1 Million,  75 ,  90 ,  48 ,  12 ,  7 ,3.50%,25.00%,  83 ,"  5,700,000 ","  68,675 "
3583287,Yes,The Furious INC,Sarvarbek Tukhtasinov,Ace Property,$1 Million,  175 ,  133 ,  66 ,  11 ,  7 ,2.30%,17.80%,  185 ,"  14,921,845 ","  80,659 "
2633507,Yes,VGT Transportation INC,Shukhrat Aliyev,Accredited Specialty,$750k,  85 ,  79 ,  43 ,  14 ,  5 ,2.30%,41.70%,  85 ,"  11,601,520 ","  136,488 "
3158760,Yes,Akron Fits,Shehrazbek Yakubov,MS Transverse Specialty,$750k,  11 ,  46 ,  34 ,  7 ,  5 ,2.20%,46.10%,  11 ,"  1,856,972 ","  168,816 "
3457132,Yes,American Freightlines Incorporated,Aziz Alimardonov,State National,$1 Million,  65 ,  194 ,  121 ,  46 ,  5 ,43.00%,1.00%,  9 ,"  864,000 ","  96,000 "
3687305,Yes,Cleanpeace Express LLC,Valentina Yevgenyevna Gulieva,Highlander Specialty,$1 Million,  75 ,  119 ,  50 ,  13 ,  5 ,3.40%,16.40%,  91 ,"  4,943,336 ","  54,322 "
3334378,Yes,AAA Express INC,Petro Shtohryn,Trisura Insurance,$750k,  19 ,  38 ,  20 ,  5 ,  5 ,5.30%,18.80%,  19 ,"  1,661,756 ","  87,461 "
3513333,Yes,LWP Transport INC,Davinder Bhullar,United Financial,$1 Million,  12 ,  43 ,  34 ,  7 ,  4 ,7.30%,21.10%,  26 ,"  1,940,126 ","  74,620 "
3975962,Yes,Rite Freight INC,Dilafruzkhon Rustambek Kyzy,State National,$1 Million,  94 ,  68 ,  29 ,  8 ,  4 ,5.10%,19.20%,  96 ,"  3,378,277 ","  35,190 "
3503232,Yes,Shon Express INC,Shukuriall Isaev,Prime Property,$750k,  50 ,  105 ,  42 ,  16 ,  4 ,5.10%,18.80%,  76 ,"  2,938,019 ","  38,658 "
4023446,Yes,Arlson LLC,Hayotjon Isomov,State National,$1 Million,  50 ,  69 ,  30 ,  12 ,  4 ,1.40%,30.60%,  55 ,"  1,500,000 ","  27,273 "
3588162,Yes,Obarker Trucking LLC,Ismat Saparov,Auto Owners,$750k,  95 ,  66 ,  37 ,  5 ,  3 ,7.30%,5.30%,  115 ,"  9,177,000 ","  79,800 "
4025514,Yes,Travel Auto Transport LLC,Vaxtang Bejanidze,State National,$1 Million,  74 ,  108 ,  63 ,  16 ,  3 ,1.10%,31.70%,  74 ,"  7,213,734 ","  97,483 "
3058638,Yes,Best Way Logistics INC,Olimjon Marufi,Canal,$750k,  121 ,  67 ,  30 ,  5 ,  3 ,1.50%,12.10%,  30 ,"  2,157,671 ","  71,922 "
1289116,Yes,Dublin Transport LLC,Abdirahman G Mohamed,Great West Casualty,$1 Million,  1 ,  37 ,  23 ,  9 ,  3 ,13.50%,22.20%,  1 ,"  125,000 ","  125,000 "
3543487,Yes,VRR QT LLC,Aigerim Nazaralieva,State National,$1 Million,  60 ,  44 ,  28 ,  6 ,  2 ,0.00%,30.00%,  120 ,"  6,215,002 ","  51,792 "
3593457,Yes,Bada Trans LLC,Martin Cafovski,Universal Casulaty,$750k,  10 ,  19 ,  11 ,  5 ,  2 ,5.30%,40.00%,  10 ,"  997,807 ","  99,781 "
3414053,Yes,Louie V Logistics INC,Sitorabonu Burkhonova,State National,$750k,  222 ,  27 ,  14 ,  5 ,  2 ,7.40%,25.00%,  222 ,"  12,474,000 ","  56,189 "
3857503,Yes,GN Transportation INC,Heather Nicole Owens,Geico Marine ,$750k,  7 ,  8 ,  7 ,  2 ,  2 ,25.00%,0.00%,  7 ,"  560,000 ","  80,000 "
4211166,Yes,Kaganat Logistics LLC,Azamat Sagdanbekov,State National,$750k,  57 ,  54 ,  24 ,  8 ,  2 ,9.30%,14.80%,  57 ,"  5,362,500 ","  94,079 "
4221130,Yes,Automover Express LLC,Moises Fernandez,Knight Specialty,$1 Million,  1 ,  17 ,  16 ,  11 ,  1 ,50.00%,66.70%,  1 ,"  75,000 ","  75,000 "
3582952,Yes,Speedel Cargo LLC,Shavkat Tangirov,Southlake,$750k,  10 ,  31 ,  15 ,  2 ,  1 ,3.00%,13.30%,  10 ,"  1,652,000 ","  165,200 "
4291067,Yes,Ali Zubayr,Gulkhayo Umirkulova,Trisura Specialty,$750k,  70 ,  16 ,  11 ,  3 ,  1 ,6.30%,25.00%,  70 ,"  5,715,500 ","  81,650 "
3508190,Yes,Arba Express LLC,Cumhur Ilter,Hoxbridge,$750k,  30 ,  40 ,  29 ,  9 ,  1 ,7.50%,33.30%,  30 ,"  850,628 ","  28,354 "
3734451,Yes,Lions Head Logistics LLC,Muna Abujamous,State National,$1 Million,  30 ,  28 ,  15 ,  6 ,  1 ,7.10%,33.30%,  42 ,"  2,152,645 ","  51,253 "
3972080,Yes,S1lk INC,Nuarkhmed Zhumabai Uulu,State National,$1 Million,  25 ,  90 ,  48 ,  16 ,  1 ,7.80%,27.30%,  25 ,"  935,375 ","  37,415 "
4194185,Yes,Bright Summit LLC,James Gerald Andre,Everspan Insurance,$750k,  3 ,  12 ,  7 ,  5 ,  -   ,25.00%,40.00%,  4 ,"  520,000 ","  130,000 "
3811082,Yes,Excellence Trucking LLC,Nina Ciobanu,Artisan Truckers,$750k,  6 ,  11 ,  6 ,  6 ,  -   ,45.50%,11.10%,  6 ,"  73,488 ","  12,248 "
3017575,Yes,From Point to Point INC,Ricardas Baranauskas,Trisura Insurance,$750k,  10 ,  15 ,  9 ,  2 ,  -   ,6.70%,14.30%,  10 ,"  1,100,000 ","  110,000 "
4156993,Yes,Gladio Express INC,Akmal Akbarov,Evolum Risk,$750k,  10 ,  20 ,  13 ,  8 ,  -   ,20.00%,33.30%,  17 ,"  716,000 ","  42,118 "
3438586,Yes,TBT Express INC,Zahra Esaleh,MS Transverse Specialty,$750k,  25 ,  9 ,  7 ,  1 ,  -   ,11.10%,0.00%,  22 ,"  1,500,000 ","  68,182 "
4018100,Yes,TPO Express LLC,Abdukhakimov Khusan,Accredited Specialty,$750k,  10 ,  6 ,  3 ,  2 ,  -   ,16.70%,50.00%,  10 ,"  1,025,000 ","  102,500 "
4248153,Yes,JKL Trucking INC,Guangdon Lin,Progressive Specialty,$750k,  2 ,  7 ,  1 ,  1 ,  -   ,14.30%,0.00%,  5 ,"  500,000 ","  100,000 "
